id_distrito;id_canton;nombre;cant_habitantes
242;36;Quebradilla;5349
243;37;Paraíso;20601
244;37;Santiago;5534
245;37;Orosi;9084
246;37;Cachí;5438
247;37;Llanos de Santa Lucía;17086
248;38;Tres Ríos;9331
249;38;San Diego;21620
250;38;San Juan;13729
251;38;San Rafael;14247
252;38;Concepción;16515
253;38;Dulce Nombre;7893
254;38;San Ramón;4054
255;38;Río Azul;12010
256;39;Juan Viñas;6552
257;39;Tucurrique;4872
258;39;Pejibaye;3245
259;40;Turrialba;26680
260;40;La Suiza;7590
261;40;Peralta;511
262;40;Santa Cruz;3208
263;40;Santa Teresita;4744
264;40;Pavones;4331
265;40;Tuis;2837
266;40;Tayutic;2374
267;40;Santa Rosa;5232
268;40;Tres Equis;1808
269;40;La Isabel;6116
270;40;Chirripó;4185
271;41;Pacayas;5628
272;41;Cervantes;6230
273;41;Capellades;2454
274;42;San Rafael;27248
275;42;Cot;9630
276;42;Potrero Cerrado;2281
277;42;Cipreses;3700
278;42;Santa Rosa;2614
279;43;Tejar;24984
280;43;San Isidro;9828
281;43;Tobosi;6569
282;43;Patio de Agua;412
283;44;Heredia;18697
284;44;Mercedes;25744
285;44;San Francisco;49209
286;44;Ulloa;29266
287;44;Vara Blanca;700
288;45;Barva;4997
289;45;San Pedro;9932
290;45;San Pablo;8319
291;45;San Roque;4622
292;45;Santa Lucía;7413
293;45;San José de la Montaña;5377
294;46;Santo Domingo;4730
295;46;San Vicente;6427
296;46;San Miguel;6363
297;46;Paracito;2231
298;46;Santo Tomás;6267
299;46;Santa Rosa;7269
300;46;Tures;3452
301;46;Pará;3333
302;47;Santa Bárbara;5944
303;47;San Pedro;5582
304;47;San Juan;7662
305;47;Jesús;9603
306;47;Santo Domingo;2879
307;47;Purabá;4573
308;48;San Rafael;9668
309;48;San Josecito;11579
310;48;Santiago;8409
311;48;Angeles;10232
312;48;Concepción;6077
313;49;San Isidro;6113
314;49;San José;7447
315;49;Concepción;2635
316;49;San Francisco;4438
317;50;San Antonio;9942
318;50;Rivera;6040
319;50;Asunción;5651
320;51;San Joaquín;7173
321;51;Barrantes;4091
322;51;Llorente;8773
323;52;San Pablo;19412
324;52;Rincón de Sabanilla;8259
325;53;Puerto Viejo;20184
326;53;La Virgen;10521
327;53;Horquetas;24331
328;53;Llanuras de Gaspar;1160
329;53;Cureña;951
330;54;Liberia;53382
331;54;Cañas Dulces;3230
332;54;Mayorga;1599
333;54;Nacascolo;2249
334;54;Curubandé;2527
335;55;Nicoya;24833
336;55;Mansión;5717
337;55;San Antonio;6642
338;55;Quebrada Honda;2523
339;55;Sámara;3512
340;55;Nosara;4912
341;55;Belén de Nosarita;2686
342;56;Santa Cruz;21544
343;56;Bolsón;1627
344;56;Veintisiete de Abril;7048
345;56;Tempate;5630
346;56;Cartagena;3824
347;56;Cuajiniquil;1789
348;56;Diriá;3905
349;56;Cabo Velas;3362
350;56;Tamarindo;6375
351;57;Bagaces;12367
352;57;Fortuna;2756
353;57;Mogote;3398
354;57;Río Naranjo;1015
355;58;Filadelfia;7953
356;58;Palmira;5416
357;58;Sardinal;14912
358;58;Belén;8841
359;59;Cañas;20816
360;59;Palmira;988
361;59;San Miguel;1644
362;59;Bebedero;2084
363;59;Porozal;669
364;60;Juntas;9482
365;60;Sierra;2351
366;60;San Juan;1585
367;60;Colorado;4621
368;61;Tilarán;8677
369;61;Quebrada Grande;2700
370;61;Tronadora;1795
371;61;Santa Rosa;1945
372;61;Líbano;865
373;61;Tierras Morenas;1358
374;61;Arenal;2300
375;62;Carmona;2486
376;62;Santa Rita;1446
377;62;Zapotal;1215
378;62;San Pablo;2207
379;62;Porvenir;741
380;62;Bejuco;3026
381;63;La Cruz;9195
382;63;Santa Cecilia;6258
383;63;Garita;1688
384;63;Santa Elena;2040
385;64;Hojancha;4245
